Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity,Sin_hour,Cos_hour,Education,Driving_exp,Casualty_age
1,0,1,Above high school,0,1-2yr,0,3,3,9,3,5,1,0,0,3,2,3,2,2,2,0,1,18-30,3,0,2,5,9,Slight Injury,-0.9976687691905393,-0.06824241336467046,5,3,2
1,1,1,Junior high school,0,Above 10yr,11,3,2,6,5,5,1,0,0,3,2,7,2,2,2,0,1,18-30,3,0,2,5,16,Slight Injury,-0.9976687691905393,-0.06824241336467046,3,6,2
1,0,1,Junior high school,0,1-2yr,5,3,5,1,2,5,1,0,0,3,2,2,2,2,2,0,1,31-50,3,0,2,5,0,Serious Injury,-0.9976687691905393,-0.06824241336467046,3,3,3
3,0,1,Junior high school,0,5-10yr,11,0,5,6,2,6,6,2,0,0,2,7,2,2,2,2,0,18-30,3,0,2,5,1,Slight Injury,0.2697967711570243,0.9629172873477994,3,5,2
3,0,1,Junior high school,0,2-5yr,0,3,2,4,2,5,6,0,0,0,2,7,2,2,2,0,1,18-30,3,0,2,5,16,Slight Injury,0.2697967711570243,0.9629172873477994,3,4,2
0,1,1,Junior high school,1,5-10yr,0,3,5,7,3,5,6,0,0,3,2,7,1,1,10,0,1,31-50,3,0,2,5,14,Slight Injury,-0.6310879443260528,-0.7757112907044198,3,5,3
6,0,1,Junior high school,0,2-5yr,0,3,5,9,5,5,0,0,0,3,2,7,1,1,3,0,0,18-30,3,0,2,5,13,Slight Injury,-0.9976687691905393,-0.06824241336467046,3,4,2
0,0,1,Junior high school,0,2-5yr,0,0,3,9,2,5,6,0,0,3,2,7,2,1,10,0,1,18-30,3,0,2,5,12,Slight Injury,-0.9976687691905393,-0.06824241336467046,3,4,2
0,0,1,Junior high school,0,Above 10yr,5,3,0,4,2,5,6,2,0,3,2,3,2,1,2,2,1,Under 18,3,0,2,0,1,Slight Injury,-0.9976687691905393,-0.06824241336467046,3,6,1
0,0,1,Junior high school,0,1-2yr,0,3,1,9,5,5,6,0,0,3,2,3,2,1,10,1,1,18-30,3,0,2,5,9,Serious Injury,-0.9976687691905393,-0.06824241336467046,3,3,2
